               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091305,            0.029774,                   0,            0.022303,            0.055901,           0.0098255,            0.001626,            0.063634,            0.021121,                   0,              0.0012,              0.0012,              0.0892
                   1,            0.064912,             0.02862,                   0,            0.088136,             0.34868,            0.066822,            0.012646,            0.051798,            0.017167,                   0,           0.0024918,           0.0024918,            0.077492
                   2,            0.056778,            0.025925,                   0,             0.22827,             0.48684,             0.19439,            0.049296,            0.053501,            0.013278,                   0,           0.0037749,           0.0037749,            0.065775
                   3,            0.053867,            0.021578,                   0,             0.80545,              0.8136,             0.86832,             0.36122,             0.05357,            0.010242,                   0,           0.0050495,           0.0050495,             0.05405
                   4,            0.050401,            0.018072,                   0,             0.82925,             0.85204,              0.8655,             0.26314,             0.05832,           0.0092039,                   0,           0.0063155,           0.0063155,            0.042316
                   5,            0.046792,            0.015134,                   0,              0.8495,             0.84174,             0.90884,             0.53391,             0.04689,             0.01026,                   0,            0.007573,            0.007573,            0.030573
                   6,            0.041981,            0.013532,                   0,             0.90196,             0.92105,             0.94915,             0.55014,            0.044835,           0.0078183,                   0,           0.0088218,           0.0088218,            0.018822
                   7,            0.039151,            0.012768,                   0,             0.66877,             0.84127,             0.79041,             0.46787,            0.035986,           0.0091435,                   0,            0.009769,            0.009769,            0.009769
                   8,            0.038173,            0.012001,                   0,             0.98971,             0.92763,             0.97297,             0.59025,            0.037182,           0.0080513,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.034803,            0.011877,                   0,             0.98584,             0.91597,             0.95397,             0.57132,            0.031736,           0.0076827,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.031755,            0.011589,                   0,             0.98206,             0.96048,             0.97984,             0.61681,            0.027764,           0.0070116,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.029387,            0.011497,                   0,             0.97901,             0.84649,             0.89749,             0.57295,             0.02927,           0.0082736,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.027848,            0.011034,                   0,             0.99307,             0.96491,             0.97822,             0.63942,             0.02823,           0.0072055,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.025818,            0.011011,                   0,             0.98898,             0.98465,             0.99402,             0.69073,            0.021826,            0.006351,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.025121,            0.010929,                   0,             0.99555,             0.98465,             0.98677,             0.68222,            0.021992,           0.0061043,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.024772,            0.010515,                   0,                   1,             0.97574,             0.98517,             0.66323,             0.02244,           0.0061935,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.025041,            0.010703,                   0,             0.99336,             0.98465,             0.98524,             0.68494,            0.022097,           0.0061538,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.02434,            0.010426,                   0,             0.99342,             0.99342,             0.99442,             0.65857,            0.023653,           0.0062787,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.024027,            0.010021,                   0,             0.99115,             0.98244,             0.98499,             0.68647,            0.021084,           0.0059893,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.023715,           0.0099665,                   0,             0.99337,             0.98684,             0.98873,             0.69238,            0.020758,            0.005911,                   0,            0.009406,            0.009406,            0.009406
                  20,             0.02269,            0.010353,                   0,             0.99558,             0.98904,              0.9948,             0.70736,             0.02179,           0.0059046,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.023624,             0.01003,                   0,             0.99333,             0.98026,             0.98773,             0.70344,             0.02059,           0.0059457,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.022834,            0.010023,                   0,             0.99559,             0.99123,             0.99446,             0.69468,            0.022053,           0.0057432,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.022377,           0.0098773,                   0,             0.98901,             0.98684,             0.98717,             0.69236,            0.021007,           0.0058449,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.021466,           0.0095901,                   0,             0.99559,             0.99342,             0.99498,             0.70741,            0.020882,           0.0057187,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.020884,           0.0095778,                   0,             0.99558,             0.99123,             0.99496,             0.70014,            0.020079,           0.0060423,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.021509,           0.0097466,                   0,             0.99559,             0.99123,             0.99361,             0.64981,             0.02123,           0.0057818,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.021065,           0.0096555,                   0,                   1,             0.98902,             0.99496,             0.69997,            0.019372,           0.0057748,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.020567,           0.0095374,                   0,             0.99559,             0.99123,             0.99471,             0.69739,            0.019646,           0.0059001,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.020815,           0.0095457,                   0,             0.99559,             0.99123,             0.99412,             0.67899,            0.020182,           0.0058376,                   0,            0.009076,            0.009076,            0.009076
